,user_id,order_id,Date_x,Amount,Merchant_id,Purchase_status,Partner_id,DayOfWeek_x,Year_x,Month_x,Quarter_x,User_id,Date_y,Location,Age,Gender,DayOfWeek_y,Year_y,Month_y,Quarter_y,Merchant_name,Rate_pct
0,21269588,4169517626.0,2020-01-01 00:00:00,"10,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,21269588,2018-12-11,Hà Nội,>37,FEMALE,Tuesday,2018,12,2018Q4,Mobifone,3.0
1,28097592,4170276686.0,2020-01-01 00:00:00,"20,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,28097592,2019-12-30,Hà Nội,>37,FEMALE,Monday,2019,12,2019Q4,Mobifone,3.0
2,29080935,4174460303.0,2020-01-01 00:00:00,"10,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,29080935,2019-10-24,Hà Nội,18_to_22,FEMALE,Thursday,2019,10,2019Q4,Mobifone,3.0
3,50568745,4168401164.0,2020-01-01 00:00:00,"10,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,50568745,2019-11-07,Other Cities,23_to_27,FEMALE,Thursday,2019,11,2019Q4,Mobifone,3.0
4,42275799,4174262889.0,2020-01-01 00:00:00,"50,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,42275799,2019-10-18,Hà Nội,28_to_32,FEMALE,Friday,2019,10,2019Q4,Mobifone,3.0
5,50912625,4169639519.0,2020-01-01 00:00:00,"30,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,50912625,2019-11-21,Hồ Chí Minh,28_to_32,FEMALE,Thursday,2019,11,2019Q4,Mobifone,3.0
6,15602866,4172907480.0,2020-01-01 00:00:00,"50,000",33.0,0,0.0,Wednesday,2020.0,1.0,2020Q1,15602866,2019-11-09,Hồ Chí Minh,28_to_32,FEMALE,Saturday,2019,11,2019Q4,Mobifone,3.0
7,20016834,4168541794.0,2020-01-01 00:00:00,"50,000",33.0,Mua hộ,41949263.0,Wednesday,2020.0,1.0,2020Q1,20016834,2018-05-23,Hồ Chí Minh,>37,MALE,Wednesday,2018,5,2018Q2,Mobifone,3.0
8,35501803,4173353083.0,2020-01-01 00:00:00,"100,000",33.0,Mua hộ,47998061.0,Wednesday,2020.0,1.0,2020Q1,35501803,2019-07-03,Hồ Chí Minh,>37,FEMALE,Wednesday,2019,7,2019Q3,Mobifone,3.0
9,31031180,4173831250.0,2020-01-01 00:00:00,"50,000",33.0,Mua hộ,47501265.0,Wednesday,2020.0,1.0,2020Q1,31031180,2019-05-30,Other Cities,23_to_27,MALE,Thursday,2019,5,2019Q2,Mobifone,3.0
10,32556798,4173098103.0,2020-01-01 00:00:00,"100,000",33.0,Mua hộ,2020083.0,Wednesday,2020.0,1.0,2020Q1,32556798,2017-05-11,Hồ Chí Minh,28_to_32,MALE,Thursday,2017,5,2017Q2,Mobifone,3.0
11,20770193,4171611019.0,2020-01-01 00:00:00,"500,000",33.0,Mua hộ,20652772.0,Wednesday,2020.0,1.0,2020Q1,20770193,2018-02-01,Other Cities,28_to_32,MALE,Thursday,2018,2,2018Q1,Mobifone,3.0
12,38568294,4177585867.0,2020-01-02 00:00:00,"10,000",33.0,0,0.0,Thursday,2020.0,1.0,2020Q1,38568294,2018-10-30,Hà Nội,23_to_27,FEMALE,Tuesday,2018,10,2018Q4,Mobifone,3.0
13,42823224,4177578804.0,2020-01-02 00:00:00,"10,000",33.0,0,0.0,Thursday,2020.0,1.0,2020Q1,42823224,2018-09-25,Hà Nội,23_to_27,FEMALE,Tuesday,2018,9,2018Q3,Mobifone,3.0
14,39557508,4180781659.0,2020-01-02 00:00:00,"30,000",33.0,Mua hộ,2253391.0,Thursday,2020.0,1.0,2020Q1,39557508,2019-12-13,Other Cities,23_to_27,FEMALE,Friday,2019,12,2019Q4,Mobifone,3.0
15,40234431,4177771395.0,2020-01-02 00:00:00,"30,000",33.0,0,0.0,Thursday,2020.0,1.0,2020Q1,40234431,2017-12-26,Hồ Chí Minh,33_to_37,FEMALE,Tuesday,2017,12,2017Q4,Mobifone,3.0
16,51720976,4181662960.0,2020-01-02 00:00:00,"200,000",33.0,Mua hộ,59232051.0,Thursday,2020.0,1.0,2020Q1,51720976,2020-01-01,Hồ Chí Minh,33_to_37,FEMALE,Wednesday,2020,1,2020Q1,Mobifone,3.0
17,48104068,4182174335.0,2020-01-02 00:00:00,"20,000",33.0,0,0.0,Thursday,2020.0,1.0,2020Q1,48104068,2019-09-14,Hồ Chí Minh,unknown,FEMALE,Saturday,2019,9,2019Q3,Mobifone,3.0
