,User_id,Date,Location,Age,Gender,DayOfWeek,Year,Month,Quarter
0,3891001,2019-11-15,Hồ Chí Minh,>37,MALE,Friday,2019,11,2019Q4
1,52571990,2020-01-14,Hồ Chí Minh,>37,MALE,Tuesday,2020,1,2020Q1
2,366389,2018-09-21,Other Cities,>37,MALE,Friday,2018,9,2018Q3
3,51104816,2020-04-13,Other Cities,>37,MALE,Monday,2020,4,2020Q2
4,7710245,2018-12-21,Other Cities,>37,MALE,Friday,2018,12,2018Q4
5,997497,2017-04-03,Hồ Chí Minh,>37,MALE,Monday,2017,4,2017Q2
6,45160302,2020-05-08,Hồ Chí Minh,>37,FEMALE,Friday,2020,5,2020Q2
7,50283994,2019-11-12,Other Cities,>37,MALE,Tuesday,2019,11,2019Q4
8,19947403,2020-04-17,Unknown,>37,FEMALE,Friday,2020,4,2020Q2
9,22788062,2020-06-28,Unknown,>37,FEMALE,Sunday,2020,6,2020Q2
10,2480145,2017-08-03,Hồ Chí Minh,>37,FEMALE,Thursday,2017,8,2017Q3
11,21724769,2020-04-03,Hồ Chí Minh,>37,MALE,Friday,2020,4,2020Q2
12,40032023,2019-02-09,Hà Nội,>37,FEMALE,Saturday,2019,2,2019Q1
13,40604716,2017-12-29,Hồ Chí Minh,>37,FEMALE,Friday,2017,12,2017Q4
14,7747274,2017-01-01,Hồ Chí Minh,>37,FEMALE,Sunday,2017,1,2017Q1
15,35187891,2018-12-13,Other Cities,>37,FEMALE,Thursday,2018,12,2018Q4
16,32861848,2019-06-05,Hồ Chí Minh,>37,MALE,Wednesday,2019,6,2019Q2
17,16919520,2019-07-27,Other Cities,>37,MALE,Saturday,2019,7,2019Q3
18,49364156,2019-10-05,Hà Nội,>37,MALE,Saturday,2019,10,2019Q4
19,12450406,2016-09-22,Hồ Chí Minh,>37,MALE,Thursday,2016,9,2016Q3
20,48145955,2019-08-01,Other Cities,>37,FEMALE,Thursday,2019,8,2019Q3
21,27350430,2019-07-04,Hà Nội,>37,FEMALE,Thursday,2019,7,2019Q3
22,41048329,2018-03-01,Hồ Chí Minh,>37,MALE,Thursday,2018,3,2018Q1
23,54788801,2020-05-12,Other Cities,>37,FEMALE,Tuesday,2020,5,2020Q2
24,6327438,2019-09-02,Hồ Chí Minh,>37,MALE,Monday,2019,9,2019Q3
25,50364707,2020-10-30,Other Cities,>37,FEMALE,Friday,2020,10,2020Q4
26,50087945,2019-10-20,Hà Nội,>37,FEMALE,Sunday,2019,10,2019Q4
27,43646531,2018-12-30,Hà Nội,>37,MALE,Sunday,2018,12,2018Q4
28,52957812,2020-01-27,Other Cities,>37,MALE,Monday,2020,1,2020Q1
29,1853028,2019-03-02,Other Cities,>37,FEMALE,Saturday,2019,3,2019Q1
30,43644187,2018-10-28,Hà Nội,>37,FEMALE,Sunday,2018,10,2018Q4
31,48751829,2020-07-21,Other Cities,>37,FEMALE,Tuesday,2020,7,2020Q3
32,51736224,2019-12-23,Hồ Chí Minh,>37,FEMALE,Monday,2019,12,2019Q4
33,44795127,2020-04-07,Other Cities,>37,FEMALE,Tuesday,2020,4,2020Q2
34,55404468,2020-04-22,Other Cities,>37,MALE,Wednesday,2020,4,2020Q2
35,44051144,2020-09-03,Other Cities,>37,FEMALE,Thursday,2020,9,2020Q3
36,52451874,2020-10-01,Other Cities,>37,MALE,Thursday,2020,10,2020Q4
37,40711216,2018-02-14,Hà Nội,>37,MALE,Wednesday,2018,2,2018Q1
38,7089348,2018-01-09,Other Cities,>37,MALE,Tuesday,2018,1,2018Q1
39,50147266,2019-10-25,Hồ Chí Minh,>37,MALE,Friday,2019,10,2019Q4
40,18282018,2019-01-23,Hồ Chí Minh,>37,MALE,Wednesday,2019,1,2019Q1
41,40362358,2017-11-21,Other Cities,>37,MALE,Tuesday,2017,11,2017Q4
42,38894377,2017-05-18,Hà Nội,>37,FEMALE,Thursday,2017,5,2017Q2
43,49838991,2019-10-14,Hà Nội,>37,MALE,Monday,2019,10,2019Q4
44,54222932,2020-03-07,Hồ Chí Minh,>37,MALE,Saturday,2020,3,2020Q1
45,33849930,2020-01-22,Hồ Chí Minh,>37,FEMALE,Wednesday,2020,1,2020Q1
46,55342069,2020-04-15,Hồ Chí Minh,>37,MALE,Wednesday,2020,4,2020Q2
47,54490046,2020-05-13,Other Cities,>37,FEMALE,Wednesday,2020,5,2020Q2
48,37015376,2018-03-31,Hà Nội,>37,FEMALE,Saturday,2018,3,2018Q1
49,50035963,2019-10-18,Hà Nội,>37,FEMALE,Friday,2019,10,2019Q4
50,39720532,2017-08-12,Hồ Chí Minh,>37,MALE,Saturday,2017,8,2017Q3
51,41543470,2020-03-17,Hồ Chí Minh,>37,FEMALE,Tuesday,2020,3,2020Q1
52,39901739,2018-05-12,Hà Nội,>37,MALE,Saturday,2018,5,2018Q2
53,36975330,2018-02-22,Hồ Chí Minh,>37,MALE,Thursday,2018,2,2018Q1
54,390019,2016-02-09,Hồ Chí Minh,>37,FEMALE,Tuesday,2016,2,2016Q1
55,53104693,2020-04-03,Hồ Chí Minh,>37,MALE,Friday,2020,4,2020Q2
56,37584275,2017-09-20,Other Cities,>37,FEMALE,Wednesday,2017,9,2017Q3
57,8025276,2020-11-19,Other Cities,>37,MALE,Thursday,2020,11,2020Q4
58,40580801,2019-12-10,Other Cities,>37,MALE,Tuesday,2019,12,2019Q4
59,44407648,2018-12-12,Other Cities,>37,FEMALE,Wednesday,2018,12,2018Q4
60,55373702,2020-04-16,Unknown,>37,FEMALE,Thursday,2020,4,2020Q2
61,32927276,2018-01-15,Hồ Chí Minh,>37,FEMALE,Monday,2018,1,2018Q1
62,33974589,2016-01-09,Hồ Chí Minh,>37,MALE,Saturday,2016,1,2016Q1
63,56243641,2020-05-30,Unknown,>37,FEMALE,Saturday,2020,5,2020Q2
64,36146051,2019-01-16,Hồ Chí Minh,>37,MALE,Wednesday,2019,1,2019Q1
65,39881693,2019-01-22,Other Cities,>37,FEMALE,Tuesday,2019,1,2019Q1
66,43867047,2020-09-18,Hồ Chí Minh,>37,FEMALE,Friday,2020,9,2020Q3
